order,tier,chapter,artist,track,version,year,primary_genre,region,secondary_links,availability_status
20,main,II,Ten City,Devotion,original club version,1987,vocal house,"Chicago, United States",soul; garage house,Spotify verified playable; included in 146-track edition
21,main,II,Inner City,Good Life,original version,1988,techno-pop,"Detroit, United States",vocal house; crossover techno,Spotify verified playable; included in 146-track edition
22,main,III,A Guy Called Gerald,Voodoo Ray,original version,1988,UK acid house,"Manchester, United Kingdom",Chicago transmission; rave,Spotify verified playable; included in 146-track edition
23,main,III,Technotronic feat. Ya Kid K,Pump Up the Jam,original 12-inch version,1989,hip-house / Eurodance threshold,Belgium,new beat; house-pop; rap,Spotify verified playable; included in 146-track edition
24,main,III,Lil Louis,French Kiss,original 12-inch version,1989,Chicago house,"Chicago, United States",minimal house; tempo manipulation,Spotify verified playable; included in 146-track edition
25,main,III,4hero,Mr Kirk's Nightmare,original version,1990,breakbeat hardcore,"London, United Kingdom",darkside; jungle ancestry,Spotify verified playable; included in 146-track edition
26,main,III,Joey Beltram,Energy Flash,original version,1990,rave techno,New York / Ghent,Belgian rave; hard techno,Spotify verified playable; included in 146-track edition
27,main,III,The Orb,Little Fluffy Clouds,original version,1990,ambient house,"London, United Kingdom",found sound; chill-out room,Spotify verified playable; included in 146-track edition
28,main,III,LFO,LFO,Leeds Warehouse Mix,1990,bleep techno,"Leeds, United Kingdom",sub-bass; British bass ancestry,Spotify verified playable; included in 146-track edition
29,main,III,Mescalinum United,We Have Arrived,original version,1990,hardcore techno,"Frankfurt, Germany",distorted kick; gabber ancestry,Spotify verified playable; included in 146-track edition
30,main,III,Masters at Work,The Ha Dance,original version,1991,ballroom / vogue beat,"New York City, United States",dance battle; crash punctuation,Spotify verified playable; included in 146-track edition
31,main,III,Lennie De Ice,We Are I.E.,original version,1991,jungle prototype,"London, United Kingdom",dub bass; breakbeat hardcore,Exact version unavailable on Spotify; omitted from 146-track edition
32,main,III,The Future Sound of London,Papua New Guinea,original 12-inch version,1991,ambient breakbeat,"Manchester, United Kingdom",ambient house; techno; breakbeat,Spotify verified playable; included in 146-track edition
33,main,III,SL2,On a Ragga Tip,original version,1992,breakbeat hardcore,"London, United Kingdom",ragga; rave-pop; soundsystem,Spotify verified playable; included in 146-track edition
34,main,III,Age of Love,The Age of Love,Watch Out for Stella Club Mix,1992,early trance,Belgium / Frankfurt remix,techno; progressive trance,Spotify verified playable; included in 146-track edition
35,main,III,Euromasters,Amsterdam Waar Lech Dat Dan?,original version,1992,early gabber / Rotterdam hardcore,"Rotterdam, Netherlands",distorted kick; scene identity,Spotify verified playable; included in 146-track edition
36,main,IV,Aphex Twin,Xtal,album version,1992,ambient techno / IDM,"Cornwall, United Kingdom",electronic listening music,Spotify verified playable; included in 146-track edition
37,main,IV,Orbital,Halcyon + On + On,album version,1993,ambient techno,"Kent, United Kingdom",breakbeat; vocal sampling,Spotify verified playable; included in 146-track edition
38,main,IV,Hardfloor,Acperience 1,original version,1992,acid techno / trance,"Cologne, Germany",dual TB-303; progressive arrangement,Spotify verified playable; included in 146-track edition
39,main,IV,2 Unlimited,No Limit,Extended Mix,1993,Eurodance,Belgium / Netherlands,rap-vocal contrast; rave-pop formula,Spotify verified playable; included in 146-track edition
40,main,IV,Origin Unknown,Valley of the Shadows,original version,1993,dark jungle,"London, United Kingdom",break science; darkside,Spotify verified playable; included in 146-track edition
41,main,IV,Plastikman,Spastik,original version,1993,minimal techno,Windsor / Detroit,percussion study; loop mutation,Spotify verified playable; included in 146-track edition
42,main,IV,Basic Channel,Quadrant Dub I,original version,1994,dub techno,"Berlin, Germany",echo; chord stabs; spatial depth,Spotify verified playable; included in 146-track edition
43,main,IV,Shy FX & UK Apachi,Original Nuttah,original version,1994,ragga jungle,"London, United Kingdom",MC cadence; Amen break,Exact version unavailable on Spotify; omitted from 146-track edition
44,main,IV,Goldie,Inner City Life,original version,1994,atmospheric jungle,"London, United Kingdom",soul vocal; orchestral scope,Spotify verified playable; included in 146-track edition
45,main,IV,Union Jack,Two Full Moons and a Trout,original version,1994,progressive / acid trance,"London, United Kingdom",long harmonic arc; psychedelia,Spotify verified playable; included in 146-track edition
46,main,IV,Robert Hood,Minus,original version,1994,minimal techno,"Detroit, United States",reduction; machine funk,Spotify verified playable; included in 146-track edition
47,main,IV,Hallucinogen,LSD,original version,1995,Goa / psytrance,Goa scene / United Kingdom producer,recursive sequencing; psychedelic accumulation,Spotify verified playable; included in 146-track edition
48,main,IV,LTJ Bukem,Horizons,original version,1995,atmospheric drum & bass,"London, United Kingdom",jazz harmony; break virtuosity,Exact version unavailable on Spotify; omitted from 146-track edition
49,main,IV,Scott Brown,Now Is the Time,original version,1995,happy hardcore,"Glasgow, United Kingdom",major-key euphoria; high-speed four-to-floor,Exact version unavailable on Spotify; omitted from 146-track edition
50,main,V,Todd Edwards,Saved My Life,original version,1995,cut-up garage house,"New Jersey, United States",vocal microsampling; UK garage ancestry,Spotify verified playable; included in 146-track edition
51,main,V,DJ Zinc,Super Sharp Shooter,original version,1995,jump-up jungle / drum & bass,"London, United Kingdom",hip-hop cuts; elastic bass,Spotify verified playable; included in 146-track edition
52,main,V,The Chemical Brothers,Block Rockin' Beats,original version,1997,big beat,"Manchester / London, United Kingdom",break loops; acid; rock-scale club production,Spotify verified playable; included in 146-track edition
53,main,V,Daft Punk,Revolution 909,album version,1997,French touch / filter house,"Paris, France",disco sampling; compression,Spotify verified playable; included in 146-track edition
54,main,V,Roni Size / Reprazent,Brown Paper Bag,album version,1997,jazzstep drum & bass,"Bristol, United Kingdom",programmed break virtuosity; jazz bass,Spotify verified playable; included in 146-track edition
55,main,V,Jeff Mills,The Bells,original version,1997,loop techno,Detroit / Berlin,bell ostinato; microvariation,Spotify verified playable; included in 146-track edition
56,main,V,Double 99,RipGroove,original version,1997,speed garage,"London, United Kingdom",warping bass; four-to-floor swing,Spotify verified playable; included in 146-track edition
57,main,V,Tina Moore,Never Gonna Let You Go,Kelly G Bump-N-Go Vocal Mix,1997,2-step garage precursor,United States / United Kingdom remix scene,missing-kick swing; R&B vocal,Spotify verified playable; included in 146-track edition
58,main,V,Energy 52,Café del Mar,Three 'N One Remix,1997,classic / uplifting trance,"Frankfurt, Germany",breakdown-rebuild; melodic anthem,Spotify verified playable; included in 146-track edition
59,main,V,RP Boo,Baby Come On,original / archival version,1997,footwork origin,"Chicago, United States",battle rhythm; displaced accents,Spotify verified playable; included in 146-track edition
60,main,V,Miss Kittin & The Hacker,Frank Sinatra,original version,1998,electroclash prototype,"Grenoble, France",EBM; electro; deadpan performance,Spotify verified playable; included in 146-track edition
61,main,V,Ed Rush & Optical,Bacteria,original version,1998,techstep / neurofunk hinge,"London, United Kingdom",engineered bass; clinical rhythm,Spotify verified playable; included in 146-track edition
62,main,V,Sasha,Xpander,original version,1999,progressive house / trance,United Kingdom,gradual metamorphosis; long-form architecture,Spotify verified playable; included in 146-track edition
63,main,VI,Dem 2,Destiny,original version,1998,2-step garage,"London, United Kingdom",shuffle; negative space; R&B chops,Spotify verified playable; included in 146-track edition
64,main,VI,Bad Company,The Nine,original version,1998,techstep drum & bass,"London, United Kingdom",stripped bass-drums pressure,Spotify verified playable; included in 146-track edition
65,main,VI,MJ Cole,Sincere,original version,1998,2-step garage,"London, United Kingdom",syncopation; lush harmony,Exact version unavailable on Spotify; omitted from 146-track edition
66,main,VI,Masters at Work feat. India,To Be in Love,MAW club version,1999,Latin / garage house,"New York City, United States",live percussion; vocal house,Spotify verified playable; included in 146-track edition
67,main,VI,Wookie,Battle,original version,2000,dark 2-step garage,"London, United Kingdom",sub-bass; percussive swing,Spotify verified playable; included in 146-track edition
68,main,VI,Delerium feat. Sarah McLachlan,Silence,Tiësto's In Search of Sunrise Remix,2000,vocal trance,Canada / Netherlands remix,uplifting trance; pop vocal; superclub scale,Spotify verified playable; included in 146-track edition
69,main,VI,Calibre,Mr Maverick,original version,2004,liquid funk drum & bass,"Belfast, United Kingdom",soul chords; rolling breaks,Spotify verified playable; included in 146-track edition
70,main,VI,Fischerspooner,Emerge,original version,2001,electroclash,"New York City, United States",theatrical synth-pop; club performance,Spotify verified playable; included in 146-track edition
71,main,VI,Horsepower Productions,Gorgon Sound,original version,2002,proto-dubstep,"London, United Kingdom",dark 2-step; dub space,Spotify verified playable; included in 146-track edition
72,main,VI,Benny Benassi presents The Biz,Satisfaction,original version,2002,electro house,"Reggio Emilia, Italy",buzz bass; hook reduction,Spotify verified playable; included in 146-track edition
73,main,VI,Wiley,Eskimo,original version,2002,grime / eski instrumental,"London, United Kingdom",square-wave coldness; eight-bar logic,Spotify verified playable; included in 146-track edition
74,main,VI,Dizzee Rascal,I Luv U,album version,2003,grime,"London, United Kingdom",MC form; jagged percussion,Spotify verified playable; included in 146-track edition
75,main,VI,Ricardo Villalobos,Easy Lee,original version,2003,minimal / microhouse,Berlin / Chile,microvariation; negative space,Exact version unavailable on Spotify; omitted from 146-track edition
76,main,VII,Deize Tigrona,Injeção,original version,2004,funk carioca / tamborzão,"Rio de Janeiro, Brazil",MC-led form; dense local percussion,Spotify verified playable; included in 146-track edition
77,main,VII,Skream,Midnight Request Line,original version,2005,dubstep,"Croydon, United Kingdom",halfstep; sub-bass; melodic hook,Spotify verified playable; included in 146-track edition
78,main,VII,Rod Lee,Dance My Pain Away,original version,2005,Baltimore club,"Baltimore, United States",Sing Sing break; chopped vocal,Spotify verified playable; included in 146-track edition
79,main,VII,Pendulum,Slam,original version,2005,dancefloor drum & bass,Perth / London,rock-scale form; clean break production,Spotify verified playable; included in 146-track edition
80,main,VII,Justice,Waters of Nazareth,original version,2005,bloghouse / distorted electro,"Paris, France",overdrive; MP3-blog era,Spotify verified playable; included in 146-track edition
81,main,VII,Digital Mystikz,Anti War Dub,original version,2006,roots dubstep,"London, United Kingdom",soundsystem space; communal vocal,Spotify verified playable; included in 146-track edition
82,main,VII,Burial,Archangel,album version,2007,post-dubstep / future-garage ancestor,"London, United Kingdom",ghosted 2-step; ambience,Spotify verified playable; included in 146-track edition
83,main,VII,T2 feat. Jodie Aysha,Heartbroken,original version,2007,UK bassline / 4x4,"Leeds, United Kingdom",speed-garage descendant; vocal crossover,Spotify verified playable; included in 146-track edition
84,main,VII,Showtek,F.T.S.,original version,2007,hardstyle,"Eindhoven, Netherlands",reverse-bass lineage; festival rhetoric,Spotify verified playable; included in 146-track edition
85,main,VII,"Buraka Som Sistema feat. DJ Znobia, M.I.A., Saborosa & Puto Prata",Sound of Kuduro,original version,2008,kuduro crossover,Luanda / Lisbon,Angolan rhythm; export mediation,Spotify verified playable; included in 146-track edition
86,main,VII,Noisia,Stigma,original version,2008,neurofunk drum & bass,"Groningen, Netherlands",articulated bass; micro-edits,Spotify verified playable; included in 146-track edition
87,main,VII,Black Coffee feat. Bucie,Superman,original version,2009,South African / Afro house,South Africa,polyrhythmic patience; vocal warmth,Spotify verified playable; included in 146-track edition
88,main,VII,Munchi,Sandungueo,original version,2010,moombahton,Rotterdam / Dominican diaspora,slowed house; dembow pressure,Spotify verified playable; included in 146-track edition
89,main,VII,Roska,Squark,original version,2010,UK funky,"London, United Kingdom",asymmetric percussion; house; sub-bass,Spotify verified playable; included in 146-track edition
90,main,VIII,Skrillex,Scary Monsters and Nice Sprites,original version,2010,brostep,"Los Angeles, United States",midrange bass; pop-drop architecture,Spotify verified playable; included in 146-track edition
91,main,VIII,Swedish House Mafia,One,original version,2010,festival progressive / electro house,Sweden,build-drop minimalism; communal scale,Spotify verified playable; included in 146-track edition
92,main,VIII,3BallMTY feat. América Sierra & El Bebeto,Inténtalo,original version,2011,tribal guarachero,"Monterrey, Mexico",triplet synths; cumbia/regional vocals,Spotify verified playable; included in 146-track edition
93,main,VIII,Avicii,Levels,original version,2011,festival progressive house,Sweden,gospel sample; melodic payoff,Spotify verified playable; included in 146-track edition
94,main,VIII,Rustie,After Light,album version,2011,wonky / maximalist bass,"Glasgow, United Kingdom",hip-hop swing; trance color,Spotify verified playable; included in 146-track edition
95,main,VIII,TNGHT,Higher Ground,original version,2012,festival trap,Glasgow / Montreal,808; horn stab; half-time space,Spotify verified playable; included in 146-track edition
96,main,VIII,Flume,Holdin On,album version,2012,future-bass precursor,"Sydney, Australia",lurching sidechain; chopped soul,Spotify verified playable; included in 146-track edition
97,main,VIII,DJ Rashad,Let It Go,album version,2013,footwork,"Chicago, United States",battle-speed syncopation; soul narrative,Spotify verified playable; included in 146-track edition
98,main,VIII,Martin Garrix,Animals,original version,2013,big-room house,"Amsterdam, Netherlands",sparse drop; tension mechanics,Spotify verified playable; included in 146-track edition
99,main,VIII,Tchami feat. Kaleem Taylor,Promesses,original version,2013,future house,"Paris, France",deep-house signifiers; festival bass,Spotify verified playable; included in 146-track edition
100,main,VIII,RL Grime,Core,original version,2014,festival trap,"Los Angeles, United States",monumental half-time; sub-bass,Spotify verified playable; included in 146-track edition
101,main,VIII,Nozinja,Tsekeleke,original mix,2014,Shangaan electro,"Limpopo / Johannesburg, South Africa",high-speed dance; synth marimbas,Spotify verified playable; included in 146-track edition
102,main,VIII,Kygo feat. Conrad Sewell,Firestone,original version,2014,tropical house,"Bergen, Norway",slower pulse; plucked lead; dance-pop,Spotify verified playable; included in 146-track edition
103,main,IX,UNIIQU3,Yo (I'm Lit),original version,2015,Jersey club,"Newark, United States",kick pattern; vocal chops; MC energy,Spotify verified playable; included in 146-track edition
104,main,IX,Islam Chipsy & EEK,Kahraba,album version,2015,Egyptian shaabi-derived keyboard-and-live-drum performance,"Cairo, Egypt",neighboring to but distinct from mahraganat; live drummers,Exact version unavailable on Spotify; omitted from 146-track edition
105,main,IX,DJ Lag,Ice Drop,original version,2016,gqom,"Durban, South Africa",asymmetrical kick; negative space,Spotify verified playable; included in 146-track edition
106,main,IX,Jlin,Black Origami,album version,2017,post-footwork / rhythmic abstraction,"Gary, United States",polyrhythm; ensemble-like sequencing,Spotify verified playable; included in 146-track edition
107,main,IX,Charlotte de Witte,Sgadi Li Mi,original version,2020,contemporary acid / hard techno,"Ghent, Belgium",acid revival; warehouse pressure,Spotify verified playable; included in 146-track edition
108,main,IX,Kabza De Small feat. Leehleza,Umshove,original version,2018,amapiano,South Africa,deep-house atmosphere; early log-drum language,Spotify verified playable; included in 146-track edition
109,main,IX,Bamba Pana,Linga Linga,album version,2018,singeli,"Dar es Salaam, Tanzania",hyper-fast loops; MC space,Spotify verified playable; included in 146-track edition
110,main,IX,DJ Plead,Salt and Pepper,original version,2019,hard drum / percussive club,Lebanese-Australian / United Kingdom scene,darbuka-derived vocabulary; UK bass,Spotify verified playable; included in 146-track edition
111,main,IX,FISHER,Losing It,original version,2018,festival tech house,Australia / global festival circuit,bass-hook reduction; build-drop economy,Spotify verified playable; included in 146-track edition
112,main,IX,"MFR Souls feat. DJ Maphorisa, Kabza De Small & Sha Sha",Love You Tonight,original version,2019,amapiano,South Africa,log drum; shakers; vocal patience,Spotify verified playable; included in 146-track edition
113,main,IX,Nia Archives,Baianá,original version,2022,new-jungle revival,"Leeds / London, United Kingdom",jungle breaks; Brazilian vocal sample,Spotify verified playable; included in 146-track edition
114,main,IX,Safety Trance feat. Arca,El Alma Que Te Trajo,original version,2022,neoperreo / queer Latin club,Venezuela / Spain,reggaetón-derived rhythm; industrial mutation,Spotify verified playable; included in 146-track edition
F01,fringe,roots,The Peech Boys,Don't Make Me Wait,original version,1982,proto-garage / post-disco,"New York City, United States",Larry Levan; dub space,Spotify verified playable; included in 146-track edition
F02,fringe,roots,Klein + M.B.O.,Dirty Talk,European Connection version,1982,Italo disco,Italy / United States,machine funk; house and techno ancestry,Spotify verified playable; included in 146-track edition
F03,fringe,proto-trance,The KLF,What Time Is Love?,Pure Trance Original,1988,proto-trance / acid house,"London, United Kingdom",stadium house; hypnotic ostinato,Exact version unavailable on Spotify; omitted from 146-track edition
F04,fringe,new-beat,A Split-Second,Flesh,original version at slowed club speed,1986,new beat precursor,Belgium,EBM; rave techno,Spotify verified playable; included in 146-track edition
F05,fringe,EBM,Nitzer Ebb,Join in the Chant,original version,1987,electronic body music,"Essex, United Kingdom",industrial dance; techno ancestry,Spotify verified playable; included in 146-track edition
F06,fringe,ambient-house,808 State,Pacific State,original version,1989,ambient house,"Manchester, United Kingdom",acid house; jazz; chill-out,Spotify verified playable; included in 146-track edition
F07,fringe,funk-carioca,DJ Marlboro,Melô da Mulher Feia,original version,1989,funk carioca root,"Rio de Janeiro, Brazil",Miami bass translation; Portuguese MC,Spotify verified playable; included in 146-track edition
F08,fringe,rave,Human Resource,Dominator,original version,1991,hardcore / rave,Netherlands,hoover synth; jungle influence,Exact version unavailable on Spotify; omitted from 146-track edition
F09,fringe,gabber,Rotterdam Termination Source,Poing,original version,1992,gabber crossover,"Rotterdam, Netherlands",distorted kick; absurdist hook,Spotify verified playable; included in 146-track edition
F10,fringe,early-hardstyle,The KGB's,Fahrenheit,original version,2006,early hardstyle,Italy / Netherlands scene,reverse bass; hard-trance bridge,Spotify verified playable; included in 146-track edition
F11,fringe,frenchcore,Dr. Peacock,Trip to Ireland,original version,2016,Frenchcore,Netherlands / France scene,very fast kick; folk melody,Spotify verified playable; included in 146-track edition
F12,fringe,darkpsy,KinDzaDza,Dasty Ho,Waves from Outer Space CD version,2004,darkpsy,"Moscow, Russia",dense kick-bass; dark psychedelia,Spotify verified playable; included in 146-track edition
F13,fringe,IDM,Autechre,Bike,album version,1993,IDM / electronic listening music,"Manchester, United Kingdom",groove abstraction; synthetic rhythm,Spotify verified playable; included in 146-track edition
F14,fringe,trip-hop,Massive Attack,Unfinished Sympathy,album version,1991,trip-hop ancestry / electronic soul,"Bristol, United Kingdom",breakbeat; orchestral soul; boundary case,Spotify verified playable; included in 146-track edition
F15,fringe,downtempo,Boards of Canada,Roygbiv,album version,1998,downtempo / IDM,"Scotland, United Kingdom",tape-warp nostalgia; compact beat,Spotify verified playable; included in 146-track edition
F16,fringe,drill-n-bass,µ-Ziq,Hasty Boom Alert,album version,1997,drill'n'bass,"London, United Kingdom",melody against extreme break edits,Spotify verified playable; included in 146-track edition
F17,fringe,breakcore,Venetian Snares,Hajnal,album version,2005,breakcore,"Winnipeg, Canada",changing meter; Amen break; orchestral landmarks,Spotify verified playable; included in 146-track edition
F18,fringe,big-beat,Fatboy Slim,The Rockafeller Skank,original version,1998,big beat,"Brighton, United Kingdom",sample recombination; crossover maximalism,Spotify verified playable; included in 146-track edition
F19,fringe,breaks,Stanton Warriors,Da Antidote,original version,2001,nu-skool breaks,"Bristol / London, United Kingdom",broken-beat bass pressure,Spotify verified playable; included in 146-track edition
F20,fringe,complextro,Wolfgang Gartner,Wolfgang's 5th Symphony,original version,2009,complextro,"California, United States",rapid synth orchestration; electro house,Spotify verified playable; included in 146-track edition
F21,fringe,future-house,Oliver Heldens,Gecko,original version,2013,future house,"Rotterdam, Netherlands",rubbery bass; compact groove,Exact version unavailable on Spotify; omitted from 146-track edition
F22,fringe,moombahton,Dillon Francis,Masta Blasta,original version,2011,moombahton crossover,"Los Angeles, United States",dembow-house hinge; cartoon bass,Spotify verified playable; included in 146-track edition
F23,fringe,midtempo-bass,REZZ,Edge,original version,2016,midtempo bass,"Ontario, Canada",hypnotic stomp; dark sound design,Spotify verified playable; included in 146-track edition
F24,fringe,SWANA-club,Deena Abdelwahed,Klabb V2,EP version,2017,Tunisian / SWANA post-club,Tunis / Toulouse,fractured rhythm; politically alert sound design,Spotify verified playable; included in 146-track edition
F25,fringe,latin-core,CRRDR,Rompe Rodillas,original version,2022,Latin core / deconstructed Latin club,"Bogotá, Colombia",perreo; dembow; hardcore-rave mutation,Spotify verified playable; included in 146-track edition
F26,fringe,digital-dancehall,Wayne Smith,Under Mi Sleng Teng,original version,1985,digital dancehall ancestry,"Kingston, Jamaica",digital riddim; jungle and reggaetón ancestry,Spotify verified playable; included in 146-track edition
F27,fringe,ghettotech,DJ Assault,Sex on the Beach,original version,1996,ghettotech,"Detroit, United States",accelerated electro; Miami bass; explicit,Spotify verified playable; included in 146-track edition
F28,fringe,bounce,Katey Red,Melpomene Block Party,original / archival version,1999,New Orleans bounce,"New Orleans, United States",call-and-response; trans pioneer; block identity,Spotify verified playable; included in 146-track edition
F29,fringe,jersey-club,DJ Tameil,Dat Butt,original EP version,2001–2002,Jersey club origin,"Newark, United States",Baltimore-derived breaks; Brick City acceleration,Exact version unavailable on Spotify; omitted from 146-track edition
F30,fringe,bacardi-house,DJ Mujava,Township Funk,Warp version,2008,Bacardi house / Pretoria house,"Pretoria, South Africa",military tattoo; sparse township groove,Spotify verified playable; included in 146-track edition
F31,fringe,batida,DJ Marfox,Eu Sei Quem Sou,original version,2011,Lisbon batida,"Lisbon, Portugal / Lusophone African diaspora",hiccupping vocals; taut drums,Spotify verified playable; included in 146-track edition
F32,fringe,digital-cumbia,Chancha Via Circuito,Ilaló,album version,2018,digital cumbia,"Buenos Aires, Argentina",cumbia rhythm; downtempo electronics,Spotify verified playable; included in 146-track edition
F33,fringe,kenyan-club,Coco Em,Kilumi,album version,2022,Kenyan global club,"Nairobi, Kenya",Kamba vocal archive; bass-and-hi-hat architecture,Spotify verified playable; included in 146-track edition
F34,fringe,shanghai-club,33EMYBW,Arthropods Continent,album version,2019,experimental club,"Shanghai, China",mutant meter; imagined ecology,Spotify verified playable; included in 146-track edition
F35,fringe,SWANA-club,DJ Haram,No Idol,original version,2019,diasporic percussive / post-club,New York / SWANA diaspora,chiftitelli and beledi knowledge; 808s,Spotify verified playable; included in 146-track edition
F36,fringe,budots,DJ Love (Sherwin Tuna),Budots 2 Bomb,Budots World (Reloaded) version,2024,budots,"Davao, Philippines",dance-loop economy; vernacular circulation,Spotify verified playable; included in 146-track edition
F37,fringe,compressed-continuities,El General,Tu Pun Pun,original recording,1990,reggae en español,"Panama / New York, United States",Jamaican dancehall riddim; reggaetón ancestry,Spotify verified playable; included in 146-track edition
F38,fringe,compressed-continuities,Daddy Yankee,Gasolina,album version,2004,reggaetón,Puerto Rico,dembow; underground-to-global crossover,Spotify verified playable; included in 146-track edition
F39,fringe,compressed-continuities,DJ Hazard & D*Minds,Mr Happy,original mix,2007,jump-up drum & bass,"Birmingham / Bristol, United Kingdom",talking bass; crowd-response drop,Spotify verified playable; included in 146-track edition
F40,fringe,compressed-continuities,Benny L,Low Blow,original version,2017,foghorn-era drum & bass,"London, United Kingdom",sustained distorted bass; spacious drums,Spotify verified playable; included in 146-track edition
F41,fringe,compressed-continuities,Gray,Told You (Soundboy),original version,2025,modern jump-up drum & bass,United Kingdom,sound-system clash; ragga/jungle ancestry,Spotify verified playable; included in 146-track edition
F42,fringe,compressed-continuities,INFEKT,Orgalorg,original version,2016,riddim dubstep / trench,Germany / North American scene,quarter-note bass grid; DJ double-drop logic,Spotify verified playable; included in 146-track edition
F43,fringe,compressed-continuities,MARAUDA,Casket,VIP,2019,modern tearout dubstep,Australia / North American festival circuit,extreme distortion; stop-start impact,Spotify verified playable; included in 146-track edition
F44,fringe,compressed-continuities,Hamdi,Skanka,DUPLOC version,2022,contemporary 140 / deep dubstep,United Kingdom,soundsystem space; grime-like lead; swing,Spotify verified playable; included in 146-track edition
