order,tier,requested_artist,requested_track,requested_version,requested_year,spotify_uri,spotify_url,spotify_artist,spotify_title,spotify_album,spotify_release_date,spotify_duration_ms,spotify_isrc,market,is_playable,linked_from_uri,version_verdict,evidence_note,checked_at
40,main,Origin Unknown,Valley of the Shadows,original version,1993,spotify:track:6fzwardfFs6sVfNA5R1ypt,https://open.spotify.com/track/6fzwardfFs6sVfNA5R1ypt,Origin Unknown,Valley of the Shadows,Valley of the Shadows,1996,280973,GBBZH9601601,US,true,,accepted,Reviewed candidate selected: Full Valley of the Shadows entity and stable ISRC agree; edits and later remixes were excluded.,2026-08-19T02:09:45Z
41,main,Plastikman,Spastik,original version,1993,spotify:track:553HOkDZQktOEBKvxTBPS1,https://open.spotify.com/track/553HOkDZQktOEBKvxTBPS1,"Plastikman, Richie Hawtin",Spastik,Recycled Plastik,1994-04-11,555626,CAM261800030,US,true,,accepted,Reviewed candidate selected: Full 9:16 Recycled Plastik Spastik recording; mixed excerpt and Dubfire rework excluded.,2026-08-19T02:10:34Z
42,main,Basic Channel,Quadrant Dub I,original version,1994,spotify:track:0dC0x8MaaASf0zenCVA4zc,https://open.spotify.com/track/0dC0x8MaaASf0zenCVA4zc,Basic Channel,Quadrant Dub I,Quadrant Dub,1994,936017,DEW259400126,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:39Z
43,main,Shy FX & UK Apachi,Original Nuttah,original version,1994,,,,,,,,,,,,unavailable,Requested version unavailable: The exact 1994 5:12 Spotify entity spotify:track:53mh7POQqTXj2Cfh7phP5b is unplayable in the authenticated US market; Original Nuttah 25 is a later re-recording.,2026-08-19T02:15:59Z
44,main,Goldie,Inner City Life,original version,1994,spotify:track:0O7xFEqePrcTUgOi4qe0uB,https://open.spotify.com/track/0O7xFEqePrcTUgOi4qe0uB,Goldie,Inner City Life,Inner City Life,1994-01-01,420266,GBAAP9500462,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:40Z
45,main,Union Jack,Two Full Moons and a Trout,original version,1994,spotify:track:5cP7CvOiWxPF44bRws62Ae,https://open.spotify.com/track/5cP7CvOiWxPF44bRws62Ae,Union Jack,"Two Full Moons And A Trout - 14"" Mix - Remastered",Platipus - Archive One,2011-12-20,477440,GBCFW1100277,US,true,,accepted,Reviewed candidate selected: The 14 inch Mix is the original long version; modern remixes and the Caspar Pound mix were excluded.,2026-08-19T02:09:45Z
46,main,Robert Hood,Minus,original version,1994,spotify:track:0YLEO6hUj8uO3RrJTHMPkD,https://open.spotify.com/track/0YLEO6hUj8uO3RrJTHMPkD,Robert Hood,Minus,Internal Empire,1994,322533,DEF279402705,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:40Z
47,main,Hallucinogen,LSD,original version,1995,spotify:track:65vtVvFUoYVLZRvvBsJlQM,https://open.spotify.com/track/65vtVvFUoYVLZRvvBsJlQM,Hallucinogen,LSD,A Taste Of Goa Trance,1999-01-08,404693,GBHCD1151171,US,true,,accepted,Reviewed candidate selected: Full 6:44 Hallucinogen LSD recording; live and remix versions excluded.,2026-08-19T02:13:41Z
48,main,LTJ Bukem,Horizons,original version,1995,,,,,,,,,,,,unavailable,Requested version unavailable: The full 1995 original is not exposed as a playable entity; the discoverable 4:18 Spotify item is a shortened DJ-mix compilation excerpt.,2026-08-19T02:15:59Z
49,main,Scott Brown,Now Is the Time,original version,1995,,,,,,,,,,,,unavailable,Requested version unavailable: Spotify exposes continuous DJ mixes containing the track but no separately playable original recording.,2026-08-19T02:15:59Z
50,main,Todd Edwards,Saved My Life,original version,1995,spotify:track:6MzbkttG6AVU8lXwxLqtic,https://open.spotify.com/track/6MzbkttG6AVU8lXwxLqtic,Todd Edwards,Saved My Life,Saved My Life,1996-04-01,415730,GBCPZ9619557,US,true,,accepted,Reviewed candidate selected: Original 1996 Saved My Life release and stable 6:56 ISRC agree.,2026-08-19T02:10:34Z
51,main,DJ Zinc,Super Sharp Shooter,original version,1995,spotify:track:5F1E5uRR1cZ6zKMLVjgOyF,https://open.spotify.com/track/5F1E5uRR1cZ6zKMLVjgOyF,DJ Zinc,Super Sharp Shooter,Super Sharp Shooter,1996-09-06,388760,GBARL9600255,US,true,,accepted,Reviewed candidate selected: 1996 full-length 6:29 Super Sharp Shooter entity; short edit and later remixes excluded.,2026-08-19T02:09:45Z
52,main,The Chemical Brothers,Block Rockin' Beats,original version,1997,spotify:track:1FNvrp5K02oThumS6gllzp,https://open.spotify.com/track/1FNvrp5K02oThumS6gllzp,The Chemical Brothers,Block Rockin' Beats,Dig Your Own Hole,1997-01-01,313666,GBAAA9700048,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:40Z
53,main,Daft Punk,Revolution 909,album version,1997,spotify:track:5pgZpHqfv4TSomtkfGZGrG,https://open.spotify.com/track/5pgZpHqfv4TSomtkfGZGrG,Daft Punk,Revolution 909,Homework,1997-01-17,335026,GBDUW0600005,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:40Z
54,main,Roni Size / Reprazent,Brown Paper Bag,album version,1997,spotify:track:3ZQs8RHO3lPZoUwpavPENL,https://open.spotify.com/track/3ZQs8RHO3lPZoUwpavPENL,"Roni Size, Reprazent",Brown Paper Bag,New Forms (20th Anniversary Edition),1997-05-23,543546,GBF089700307,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:40Z
55,main,Jeff Mills,The Bells,original version,1997,spotify:track:3hvBwTnQFcTvDvcabMw985,https://open.spotify.com/track/3hvBwTnQFcTvDvcabMw985,Jeff Mills,The Bells,The Bells,2006,289181,FRX201785612,US,true,,accepted,Reviewed candidate selected: Full 4:49 plain-title recording on The Bells release; orchestral Blue Potential version excluded.,2026-08-19T02:15:33Z
56,main,Double 99,RipGroove,original version,1997,spotify:track:48ha6RZcXoYGzmWhCO7Ust,https://open.spotify.com/track/48ha6RZcXoYGzmWhCO7Ust,Double 99,Ripgroove,Double 99 Double Pack,2014-01-31,367031,GBESM1100033,US,true,,accepted,Reviewed candidate selected: Full 6:07 original recording and stable ISRC; rerecording and radio edit excluded.,2026-08-19T02:09:45Z
57,main,Tina Moore,Never Gonna Let You Go,Kelly G Bump-N-Go Vocal Mix,1997,spotify:track:1wwdZALZhTeDkMHqQpTy6E,https://open.spotify.com/track/1wwdZALZhTeDkMHqQpTy6E,"Tina Moore, Kelly G.",Never Gonna Let You Go - Kelly G. Bump-N-Go Vocal Mix,Never Gonna Let You Go,1997-07-01,254533,USRC12002289,US,true,,exact,"Artist, base title, and the specific requested version wording agree.",2026-08-19T01:54:57Z
58,main,Energy 52,Café del Mar,Three 'N One Remix,1997,spotify:track:3CleFb6zdsgndKKHgE3DJc,https://open.spotify.com/track/3CleFb6zdsgndKKHgE3DJc,"Energy 52, Three 'N One",Café Del Mar - Three 'n One Remix - 30 Years Anniversary Vinyl Remaster [Remastered],Café Del Mar (30 Years Anniversary),2024-11-29,524688,DEL022210002,US,true,,exact,"Artist, base title, and the specific requested version wording agree.",2026-08-19T01:54:57Z
59,main,RP Boo,Baby Come On,original / archival version,1997,spotify:track:0rzohlbJIrpvIHFAgPztfG,https://open.spotify.com/track/0rzohlbJIrpvIHFAgPztfG,RP Boo,Baby Come On,"Classics, Vol.1",2015-04-06,313706,USA2B1511688,US,true,,accepted,Reviewed candidate selected: RP Boo archival Classics release and 5:14 duration match the requested archival version.,2026-08-19T02:09:45Z
60,main,Miss Kittin & The Hacker,Frank Sinatra,original version,1998,spotify:track:3sExpgNIBo9ZZh5r8NFQGJ,https://open.spotify.com/track/3sExpgNIBo9ZZh5r8NFQGJ,"Miss Kittin, The Hacker",Frank Sinatra,First Album,2001-10-01,235933,DEGQ20700024,US,true,,accepted,Reviewed candidate selected: Original First Album entity and stable ISRC; reissue duplicate and alternate 2001 version excluded.,2026-08-19T02:10:34Z
61,main,Ed Rush & Optical,Bacteria,original version,1998,spotify:track:0cW9LR6eX9BoCkY1arL6YJ,https://open.spotify.com/track/0cW9LR6eX9BoCkY1arL6YJ,"Ed Rush, Optical",Bacteria,Gas Mask / Bacteria,1999-05-01,407466,GBTKW9900052,US,true,,accepted,Reviewed candidate selected: Full Gas Mask / Bacteria recording; DJ mix excerpt and Pendulum remix excluded.,2026-08-19T02:10:35Z
62,main,Sasha,Xpander,original version,1999,spotify:track:76mh0rcSJpNhoCCqazptWm,https://open.spotify.com/track/76mh0rcSJpNhoCCqazptWm,Sasha,Xpander,The Xpander E.P.,1999-07-05,690373,GBARK9900004,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:41Z
63,main,Dem 2,Destiny,original version,1998,spotify:track:2tkdZAo4R4vF6TSc5BvA8r,https://open.spotify.com/track/2tkdZAo4R4vF6TSc5BvA8r,Dem 2,Destiny,PAY CLOSE ATTENTION: XL Recordings,2014-08-25,297200,GBBKS9900269,US,true,,accepted,Reviewed candidate selected: Full vocal Destiny entity selected; radio edit and named remixes excluded.,2026-08-19T02:10:35Z
64,main,Bad Company,The Nine,original version,1998,spotify:track:4SQfru2JwRHATPltjQFLEL,https://open.spotify.com/track/4SQfru2JwRHATPltjQFLEL,Bad Company UK,The Nine - Remastered,The Nine (Remastered),2014-01-03,426449,GBTEL1400013,US,true,,accepted,Reviewed candidate selected: Full 7:06 remaster preserves the original The Nine entity; corrupt short and unrelated long results excluded.,2026-08-19T02:09:45Z
65,main,MJ Cole,Sincere,original version,1998,,,,,,,,,,,,unavailable,"Requested version unavailable: The documented 1998 vocal mix is about 5:46; available entities are the later Re-Cue'D version, remixes, or a duration-mismatched compilation master.",2026-08-19T02:15:59Z
66,main,Masters at Work feat. India,To Be in Love,MAW club version,1999,spotify:track:6fIuAfvlas2lhsMiHDT6PF,https://open.spotify.com/track/6fIuAfvlas2lhsMiHDT6PF,Masters At Work,To Be In Love - MAW '99 Mix,To Be In Love ('99 Remixes),1999-08-20,714600,GBKQU2128804,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:41Z
67,main,Wookie,Battle,original version,2000,spotify:track:1Y8R1CKdai0oycCf6K0sjh,https://open.spotify.com/track/1Y8R1CKdai0oycCf6K0sjh,"Wookie, Lain",Battle,Wookie (Deluxe Edition),2017-09-29,300500,GBVN81700031,US,true,,accepted,"Reviewed candidate selected: Reviewed artist, title, requested version, release context, duration, ISRC, and recorded alternatives agree.",2026-08-19T02:08:41Z
68,main,Delerium feat. Sarah McLachlan,Silence,Tiësto's In Search of Sunrise Remix,2000,spotify:track:7tU5JvCfG0t3PHG7mchPjv,https://open.spotify.com/track/7tU5JvCfG0t3PHG7mchPjv,"Delerium, Sarah McLachlan, Tiësto",Silence (feat. Sarah McLachlan) - DJ Tiësto's in Search of Sunrise Remix,Remixed,2003-12-15,693680,CAN110000030,US,true,,exact,"Artist, base title, and the specific requested version wording agree.",2026-08-19T01:55:01Z
69,main,Calibre,Mr Maverick,original version,2004,spotify:track:5jPGG0sycNwxFNMIf4exGY,https://open.spotify.com/track/5jPGG0sycNwxFNMIf4exGY,Calibre,Mr. Maverick,Mr. Maverick / Highlander,2004,351720,GBZSD0400005,US,true,,accepted,Reviewed candidate selected: Official 2004 Mr. Maverick / Highlander release and 5:51 track agree.,2026-08-19T02:06:00Z
