position,block_id,release_year,artist,title,intended_version,scene_or_country,route_tags,primary_teaching_job,selection_status,metadata_status,metadata_source_url,soundcloud_status,soundcloud_url,soundcloud_id,soundcloud_uploader,soundcloud_duration_ms,soundcloud_access,resolution_note,guide_anchor,notes
11,HH01,1973,The Incredible Bongo Band,Apache,original Bongo Rock album version,Canada / United States,break; drums; dance,A foundational break record and dancer-centered listening,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/mrbongo/1-01-apache,resolved_exact,https://soundcloud.com/mrbongo/1-01-apache,24912433,Mr Bongo,289572,open_or_monetized,Full-length Mr Bongo upload; the shorter catalog result is not the intended album performance.,track-011,Distinguish later edits
12,HH01,1973,Lightnin' Rod,Sport,original Hustlers Convention album version,New York,spoken-word; narrative; funk,Street narrative over funk ensemble,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/8a2873ce-3741-412f-b625-b8c6e3680253,resolved_exact,https://soundcloud.com/lightninrod/sport,1923994064,Lightnin' Rod,155638,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-012,Boundary exhibit rather than first-rap claim
13,HH02,1978,Grandmaster Flash and the Furious Four MCs,Live at the Audubon Ballroom — December 23 1978,complete surviving party tape,New York,party-tape; DJ; MC; live,Quick-mix DJ and MC interaction before commercial rap,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Live+at+the+Audubon+Ballroom+%E2%80%94+December+23+1978%22+AND+artist%3A%22Grandmaster+Flash+and+the+Furious+Four+MCs%22&fmt=json&limit=8,resolved_exact_unofficial,https://soundcloud.com/hairsmit/1978-12-23-grandmaster-flash,128733441,hairsmit,1774532,open_or_monetized,Date and venue in the upload title match the intended Audubon Ballroom tape.,track-013,Archival object; exact carrier and SoundCloud availability unresolved
14,HH02,1978,Furious Four,Live at Mitchell Gym,Cornell Troy L. Smith tape 184 side B,New York,party-tape; live; crew,Crew routine and live-room pacing,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Live+at+Mitchell+Gym%22+AND+artist%3A%22Furious+Four%22&fmt=json&limit=8,unavailable_exact,,,,,,Cornell tape 184 side B is documented but no exact SoundCloud upload was found.,track-014,Archive catalog source required
15,HH02,1978,Funky Four,Live at unknown location,Cornell Troy L. Smith tape 230 side A,New York,party-tape; live; Sha-Rock,Early crew performance including a woman MC,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Live+at+unknown+location%22+AND+artist%3A%22Funky+Four%22&fmt=json&limit=8,unavailable_exact,,,,,,Cornell tape 230 side A is documented but no exact SoundCloud upload was found.,track-015,Exact venue remains unidentified in catalog
16,HH02,1978,Afrika Bambaataa and associated crews,Birthday Party for DJ Kool Herc at 1590 Jerome Avenue,complete documented event recording if accessible,New York,party-tape; DJ; crew; community,Named party ecology and crew organization,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Birthday+Party+for+DJ+Kool+Herc+at+1590+Jerome+Avenue%22+AND+artist%3A%22Afrika+Bambaataa%22&fmt=json&limit=8,unavailable_exact,,,,,,The documented event recording was not found as an exact SoundCloud upload.,track-016,Cornell archive item; audio access unresolved
17,HH02,1979,Grandmaster Flowers,Live at St. Marks Park Brooklyn,Cornell Troy L. Smith tape 98,Brooklyn / New York,party-tape; disco; breaks; echo,Pre-rap DJ continuity and park performance,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Live+at+St.+Marks+Park+Brooklyn%22+AND+artist%3A%22Grandmaster+Flowers%22&fmt=json&limit=8,unavailable_exact,,,,,,Cornell tape 98 is documented but no exact SoundCloud upload was found.,track-017,Archive catalog describes 120-minute tape
18,HH02,1979,Cold Crush Four and Disco Enforcers,Live at T-Connection,Cornell Troy L. Smith tape 8,New York,party-tape; crew; routine,Routines over commercial records and live social detail,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Live+at+T-Connection%22+AND+artist%3A%22Cold+Crush+Four+and+Disco+Enforcers%22&fmt=json&limit=8,unavailable_exact,,,,,,Cornell tape 8 is documented but no exact SoundCloud upload was found.,track-018,Archival object
19,HH02,1979,DJ Hollywood,Live club routine,best-authenticated complete 1970s club tape,New York,club; MC; party-tape,Club-style solo MC continuity beside Bronx crews,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Live+club+routine%22+AND+artist%3A%22DJ+Hollywood%22&fmt=json&limit=8,unavailable_exact,,,,,,Search results belong to a contemporary DJ using the same name; no authenticated 1970s club tape was accepted.,track-019,Exact date venue and carrier must be resolved
20,HH02,1979,Disco Twins and Infinity Machine,Live party recording,best-authenticated surviving 1970s tape,Queens / New York,party-tape; DJ; sound-system,Mobile crew and borough circulation,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/ws/2/recording/?query=recording%3A%22Live+party+recording%22+AND+artist%3A%22Disco+Twins+and+Infinity+Machine%22&fmt=json&limit=8,unavailable_exact,,,,,,No authenticated surviving 1970s Disco Twins and Infinity Machine tape was found on SoundCloud.,track-020,Exact recording must be resolved before acceptance
21,HH03,1979,The Sugarhill Gang,Rapper's Delight,original long 12-inch version,New Jersey,party-rap; disco-band; commercial,Commercial breakthrough and studio translation of MC routines,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/c64c4530-098a-4bfb-9f13-567cc51a5173,resolved_exact,https://soundcloud.com/thesugarhillgang/the-sugarhill-gang-rappers,232327378,The Sugarhill Gang,427389,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-021,Canonical and cliched because indispensable
22,HH03,1979,The Fatback Band featuring King Tim III,King Tim III (Personality Jock),original 12-inch version,New York,funk-band; early-recorded-rap,Rap embedded inside an established funk act,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/fatbackband/king-tim-iii-personality,resolved_exact,https://soundcloud.com/fatbackband/king-tim-iii-personality,284873885,Fatback Band,373185,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-022,Verify original credit and duration
23,HH03,1979,The Sequence,Funk You Up,original 12-inch version,South Carolina / New York,women; party-rap; Southern,Early women-led recorded rap and non-New-York origin,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/59f2c895-bcd3-4da1-b409-a19a0f228542,resolved_exact_unofficial,https://soundcloud.com/christophe-perrin-1/the-sequence-funk-you-up,383245022,TotOfPERRIN,410421,open_or_monetized,Title and full 12-inch duration match; uploader is not artist-controlled.,track-023,Verify Sugar Hill issue
24,HH03,1979,Lady B,To the Beat Y'all,original 12-inch version,Philadelphia,women; regional; party-rap,Philadelphia's early recorded presence,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/860430a9-0bdd-4d5d-82d3-99ef8c19ed7f,resolved_exact_unofficial,https://soundcloud.com/illskillzentertainment/ttby,78908736,ill-literate-skill,260125,open_or_monetized,Full-length upload matches Lady B's original recording; uploader is not artist-controlled.,track-024,Exact label issue required
25,HH03,1979,Spoonie Gee,Spoonin Rap,original Sound of New York 12-inch,New York,solo-MC; old-school,Intimate solo voice beside crew routines,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/spooniegee/spoonin-rap-1,resolved_exact,https://soundcloud.com/spooniegee/spoonin-rap-1,1028246683,Spoonie Gee,220160,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-025,Version verification required
26,HH03,1980,Kurtis Blow,The Breaks,original 12-inch version,New York,party-rap; crossover,Breakdown form and major-label crossover,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/kurtis-blow-official/the-breaks-1,resolved_exact,https://soundcloud.com/kurtis-blow-official/the-breaks-1,253478905,Kurtis Blow,469316,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-026,Canonical
27,HH03,1980,Brother D with Collective Effort,How We Gonna Make the Black Nation Rise?,original 12-inch version,New York,political; message,Early explicitly political commercial rap,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/f011a4d8-6562-4f70-ad24-3f45df1f2404,resolved_exact_unofficial,https://soundcloud.com/rimasrebeldes/brother-d-with-collective,57808104,Rimas Rebeldes,352499,open_or_monetized,"Title, credit, and duration match the original 12-inch; uploader is not artist-controlled.",track-027,Recognition still unconfirmed
28,HH03,1980,The Treacherous Three,The New Rap Language,original 12-inch version,New York,flow; speed; crew,Rhythmic density and changing MC technique,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/spooniegee/the-new-rap-language,resolved_exact,https://soundcloud.com/spooniegee/the-new-rap-language,1026269884,Spoonie Gee,481411,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-028,Exact artist credit with Spoonie Gee
29,HH03,1980,Funky Four Plus One,That's the Joint,original 12-inch version,New York,crew; women; party-rap,Interlocking crew routine and Sha-Rock's presence,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/thefunkyfourplusone/thats-the-joint,resolved_exact,https://soundcloud.com/thefunkyfourplusone/thats-the-joint,1320862126,The Funky Four Plus One,559909,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-029,Canonical live-to-studio comparison
30,HH03,1981,Grandmaster Flash,The Adventures of Grandmaster Flash on the Wheels of Steel,original 12-inch version,New York,DJ; turntablism; collage,DJ technique becoming a composed commercial recording,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/c63caf69-8117-4f44-9c75-0053a39308bf,resolved_exact,https://soundcloud.com/grandmasterflashmusic/the-adventures-of-grandmaster,255865275,Grandmaster Flash,426801,subscriber_catalog,Artist-catalog upload is the full-length recording.,track-030,Verify full 7-minute version
31,HH03,1981,Mean Machine,Disco Dream,original 12-inch version,New York / Puerto Rican diaspora,bilingual; Spanish; crew,Spanish-English flow inside early New York rap,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/fe7ad7fa-1911-4ad7-96b3-e7699cfed40c,resolved_exact,https://soundcloud.com/djlordsear/disco-dream-the-mean-machine-1981,1370132605,Dj Lord Sear - The Lord Sear Special,387448,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-031,Transnational Latino foundation
32,HH03,1982,Grandmaster Flash and the Furious Five,The Message,original 12-inch version,New York,message; social-reportage,Social reportage as a major commercial form,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/85672810-5771-486b-a508-c77f2ab79670,resolved_exact_unofficial,https://soundcloud.com/xx_tacolover_x/the-message-grandmaster-flash,139492343,Swag_master69,428160,open_or_monetized,Seven-minute upload matches the original 12-inch recording; uploader is not artist-controlled.,track-032,Tom recognition anchor; exact credit required
33,HH03,1982,Afrika Bambaataa and the Soulsonic Force,Planet Rock,original 12-inch vocal version,New York,electro; machine-funk; dance,Electro futurism and transatlantic machine exchange,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/afrika-bambaataa/planet-rock-original-12,resolved_exact,https://soundcloud.com/afrika-bambaataa/planet-rock-original-12,889772956,AFRIKA BAMBAATAA,384000,open_or_monetized,Artist-catalog entry explicitly identifies the original 12-inch version.,track-033,Distinguish instrumental and later remasters
34,HH03,1981,Chagrin d'amour,Chacun fait (c'qui lui plaît),original long version,France,French-language; global-uptake,Early French-language rap-adjacent commercial adaptation,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/chagrindamourofficial/chacun-fait-cqui-lui-plait,resolved_exact,https://soundcloud.com/chagrindamourofficial/chacun-fait-cqui-lui-plait,295623997,Chagrin d'Amour,249280,subscriber_catalog,Artist-catalog 1981 long version; shorter and later mixes were rejected.,track-034,Boundary status requires contextual care
35,HH03,1981,Yellow Magic Orchestra,Rap Phenomena,original BGM album version,Japan,Japanese; electro; experimental,Early Japanese engagement with rap form and machine pop,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/2fdac1e7-b58f-4855-b549-325e9dc21ec0,resolved_exact,https://soundcloud.com/yellowmagicorchestra-music/rap-phenomena,525087015,Yellow Magic Orchestra,272980,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-035,Rap-adjacent boundary exhibit
36,HH03,1983,Run-D.M.C.,It's Like That,original 12-inch version,Queens / New York,new-school; sparse-drums; message,Sparse drum-machine attack and new vocal posture,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/run-dmcofficial/its-like-that-2,resolved_exact,https://soundcloud.com/run-dmcofficial/its-like-that-2,256076759,RUN-DMC,250671,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-036,Transition exhibit
37,HH03,1984,Roxanne Shanté,Roxanne's Revenge,original Pop Art 12-inch version,Queens / New York,women; answer-record; battle,Answer-record economy and teenage battle authority,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/f4ac0ef0-7305-4d7a-8be4-7248568e6ec6,resolved_exact,https://soundcloud.com/roxanneshant/roxannes-revenge-1,431506983,Roxanne Shanté,309487,open_or_monetized,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-037,Verify original versus re-recording
38,HH03,1983,Newtrament,London Bridge Is Falling Down,original 12-inch version,United Kingdom,UK-rap; electro; global-uptake,Early recorded British rap and electro adaptation,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/adc4ce03-c8ff-46df-9bfc-4a4d41d0e993,unavailable_exact,,,,,,Search results with this generic title were unrelated nursery-rhyme recordings; no Newtrament original was accepted.,track-038,Verify label and mix
39,HH04,1983,Run-D.M.C.,Sucker M.C.'s (Krush-Groove 1),original 12-inch version,Queens / New York,new-school; sparse-drums,Austere drums and changed MC-DJ relationship,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/bb51741e-16e1-43f2-a2a2-0aed1b2a039f,resolved_exact,https://soundcloud.com/run-dmcofficial/sucker-m-c-s-krush-groove-1,256076472,RUN-DMC,189910,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-039,Chronological bridge
40,HH04,1985,LL Cool J,I Can't Live Without My Radio,original Radio album version,Queens / New York,new-school; Def-Jam; persona,Solo star power and hard minimal production,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/339f7030-8ba5-4971-828c-6eb4b49a3e40,resolved_exact,https://soundcloud.com/llcooljofficial/i-cant-live-without-my-radio,256108305,LL COOL J,327575,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-040,Canonical
41,HH04,1985,Schoolly D,P.S.K. What Does It Mean?,original 12-inch version,Philadelphia,gangsta-lineage; drum-machine,Philadelphia minimalism and gangsta-rap precursor debate,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/da868a05-85b6-4fad-b6e6-220f825b9d37,resolved_exact,https://soundcloud.com/schoolly-d-official/p-s-k-what-does-it-mean,253583152,Schoolly D,388937,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-041,Avoid single-invention claim
42,HH04,1985,Doug E. Fresh and the Get Fresh Crew,The Show,original 12-inch version,New York,beatbox; crew; performance,Human beatboxing and theatrical crew arrangement,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/850d5a2c-b5d9-4eaf-be2c-f7e7e482f279,resolved_exact_unofficial,https://soundcloud.com/lowndes69/doug-e-fresh-the-get-fresh,127525663,lowndes69,367341,open_or_monetized,Full-length user upload is the intended recording; artist-catalog search results returned another track.,track-042,Pair with La Di Da Di if fringe space allows
43,HH04,1986,Eric B. & Rakim,Eric B. Is President,original 12-inch version,Long Island / New York,flow; sampling; DJ-MC,A changed internal rhyme and flow standard,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/e351e490-cc8a-40f6-bd82-f8d247608ceb,resolved_exact_unofficial,https://soundcloud.com/eric-b-music-group/eric-b-rakim-eric-b-is,97199421,Eric B Music Group,291606,open_or_monetized,Upload explicitly identifies the original 12-inch version; the artist catalog's longer entry was rejected.,track-043,Verify Marley Marl role carefully
44,HH04,1986,Boogie Down Productions,South Bronx,original 12-inch version,Bronx / New York,battle; regional-identity; sampling,Battle record as historical and geographic argument,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/358346b4-1461-4586-9ad1-c9b6f3c224ec,resolved_exact,https://soundcloud.com/boogie-down-productions/south-bronx-1,274888578,Boogie Down Productions,308639,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-044,Bridge to Bridge Wars context
45,HH04,1986,Beastie Boys,Paul Revere,original Licensed to Ill album version,New York,Def-Jam; crossover; reverse-tape,White participation commercial scale and studio play,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/14cf3d99-3a5c-4709-8f3e-5319befab6bc,resolved_exact,https://soundcloud.com/beastieboys/paul-revere,257074935,Beastie Boys,220891,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-045,Canonical but not sole Beasties representative
46,HH04,1986,Ultramagnetic MC's,Ego Trippin',original 12-inch version,Bronx / New York,sampling; experimental; battle,Unstable samples and eccentric verbal attack,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/ultramagneticmcs/ultramagnetic-mcs-ego-trippin,resolved_exact,https://soundcloud.com/ultramagneticmcs/ultramagnetic-mcs-ego-trippin,232329212,Ultramagnetic Mcs,326713,open_or_monetized,Artist-catalog full version; the higher-ranked trap edit was rejected.,track-046,Deep-route anchor
47,HH04,1986,Biz Markie,Make the Music with Your Mouth Biz,original 12-inch version,New York,beatbox; humor; Marley-Marl,Beatbox as hook rhythm and comic persona,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/ed8ddcd1-c4b3-44c6-98d2-f5014c3d440b,resolved_exact,https://soundcloud.com/bizmarkieofficial/make-the-music-with-your-mouth,255812039,Biz Markie,304301,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-047,Verify version
48,HH04,1986,2 Live Crew,Throw the D,original 12-inch version,Miami,Miami-bass; dance; explicit,Miami bass rhythm and dance instruction,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/54d8fb16-a4ed-44a5-ac61-184856160ad2,resolved_exact_unofficial,https://soundcloud.com/user984827580/throw-the-d-2-live-crew,122531872,Ronier Dj,188333,open_or_monetized,User upload matches the original recording; later bootleg remixes were rejected.,track-048,Explicit content eligible
49,HH04,1987,MC Lyte,I Cram to Understand U (Sam),original album version,Brooklyn / New York,women; narrative; anti-drug,Narrative control and early woman solo album authority,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/mclyteofficial/mc-lyte-i-cram-to-understand-u,resolved_exact,https://soundcloud.com/mclyteofficial/mc-lyte-i-cram-to-understand-u,231889978,MC Lyte,284160,open_or_monetized,Artist-catalog original version; the 1990 remix was rejected.,track-049,Verify 1987 First Priority issue
50,HH04,1987,Salt-N-Pepa,Push It,preferred original hit remix to be fixed,Queens / New York,women; dance; crossover,Women-led crossover and dance-floor minimalism,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/beb7514d-1906-4813-8ddb-cfc9efa6dff0,resolved_probable_exact,https://soundcloud.com/andrei-popa-2/salt-n-pepa-push-it,36917749,© Andrei Popa,267046,open_or_monetized,Duration matches the 1987 hit remix. The current artist-catalog result is a 2026 re-recording and was rejected.,track-050,Version is a known trap; resolve remix identity
51,HH04,1987,Public Enemy,Rebel Without a Pause,original It Takes a Nation album version,Long Island / New York,political; Bomb-Squad; dense-production,Siren-like density and collective political attack,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/public-enemy-music/rebel-without-a-pause-2,resolved_exact,https://soundcloud.com/public-enemy-music/rebel-without-a-pause-2,252697848,Public Enemy,266193,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-051,Canonical
52,HH04,1987,EPMD,It's My Thing,original 12-inch version,Long Island / New York,funk-sampling; duo,Laid-back duo flow over heavy funk sample logic,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/epmd-official/its-my-thing,resolved_exact,https://soundcloud.com/epmd-official/its-my-thing,259045192,EPMD,342387,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-052,Verify Sleeping Bag issue
53,HH04,1987,Audio Two,Top Billin',original 12-inch version,Brooklyn / New York,minimalism; break; sample,Radical rhythmic economy and long sample afterlife,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/16088134-7107-4456-a584-660c07da4306,resolved_exact,https://soundcloud.com/audio-two-official/top-billin,254485498,Audio Two,175793,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-053,Canonical production exhibit
54,HH04,1984,Dee Nasty,Paname City Rappin',original album version,France,French-rap; DJ; global,Early French recorded rap and DJ culture,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/da975656-7287-458e-b5bc-d02eb27d0452,resolved_exact,https://soundcloud.com/deenastyofficial/panam-city-rappin,1356568837,Dee Nasty,316709,subscriber_catalog,Artist-catalog recording; the catalog spelling is Panam City Rappin'.,track-054,Institutionally documented pioneer; exact track/mix verify
55,HH04,1987,Lionel D,Y'a pas de problème,original version,France,French-rap; radio; live-MC,French radio and MC infrastructure,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/lioneld-music/ya-pas-de-probleme,resolved_exact,https://soundcloud.com/lioneld-music/ya-pas-de-probleme,718427179,Lionel D,266684,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-055,Metadata verification required
56,HH04,1988,Hijack,Style Wars,original 12-inch version,United Kingdom,UK-hardcore-rap; battle,British hard-edged rap before later UK genre branches,selected_main_route,metadata_source_incomplete,https://musicbrainz.org/recording/ed0046cd-fe0f-4dfc-9da1-9ea66f871089,unavailable_exact,,,,,,Only later chillwave mixes and unrelated same-title recordings were found.,track-056,Verify 1988 Music of Life issue
57,HH05,1989,Public Enemy,Fight the Power,original Do the Right Thing soundtrack version,New York,political; dense-production; soundtrack,Collective political address and cinematic public sphere,selected_main_route,verified_soundcloud_catalog,https://soundcloud.com/public-enemy-music/fight-the-power-do-the-right,resolved_exact,https://soundcloud.com/public-enemy-music/fight-the-power-do-the-right,252697243,Public Enemy,323500,subscriber_catalog,Artist-catalog entry explicitly identifies the Do the Right Thing soundtrack recording.,track-057,Tom-likely recognition; distinguish album remix
58,HH05,1989,Boogie Down Productions,You Must Learn,original Ghetto Music album version,New York,pedagogy; history; political,Historical pedagogy inside rap,selected_main_route,verified_musicbrainz,https://musicbrainz.org/recording/c2832bbb-2b4e-4573-86b8-8db39c17fa3b,resolved_exact,https://soundcloud.com/boogie-down-productions/you-must-learn-lp-version,253202871,Boogie Down Productions,232015,subscriber_catalog,"Structured SoundCloud catalog metadata matches artist, title, and intended unaltered version.",track-058,Recognition prompt
